ObjectType;Name;AdviseType;AlarmVerify;AllowRead;AllowWrite;DeviceHigh;DeviceLow;DisableIOServerPool;DocString;DriverLocation;DriverName;EnableDeadband;EnableDriverEvent;EnableReadGrouping;EnableScaling;EU;EUHigh;EULow;IsAlarmArea;N1;N2;N3;N4;P1;P2;P3;P4;ParamDevice;ParamItem;PathContainer;PathName;PathVolume;PercentDeadband;ReadRetries;Scan;ShareMaximum;ShareServer;UseBitFields;WriteFeedbackMode;WriteRetries;WriteSyncMode
IOTag;"Balcao2.TagAjustaMes2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;102;;;;;"";"";"Carel";"Carel.Balcao2.TagAjustaMes2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOFolder;"Balcao3";;;;;;;;"";;;;;;;;;;False;;;;;;;;;"";;"Carel";"Carel.Balcao3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";;;;;;;;;
IOTag;"Balcao3.TagTempInterna3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;2;;;;;"";"";"Carel";"Carel.Balcao3.TagTempInterna3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagHabilitaTipoOperacao3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;170;;;;;"";"";"Carel";"Carel.Balcao3.TagHabilitaTipoOperacao3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagFuncaoDisplay3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;158;;;;;"";"";"Carel";"Carel.Balcao3.TagFuncaoDisplay3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagFuncaoSensor3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;122;;;;;"";"";"Carel";"Carel.Balcao3.TagFuncaoSensor3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagOffsetSensorDois3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;12;;;;;"";"";"Carel";"Carel.Balcao3.TagOffsetSensorDois3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagOffsetSensorUm3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;11;;;;;"";"";"Carel";"Carel.Balcao3.TagOffsetSensorUm3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagTipoSensor3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;120;;;;;"";"";"Carel";"Carel.Balcao3.TagTipoSensor3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagSetAlarmeBaixo3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;19;;;;;"";"";"Carel";"Carel.Balcao3.TagSetAlarmeBaixo3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagResetalarme3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;6;0;57;;;;;"";"";"Carel";"Carel.Balcao3.TagResetalarme3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagSetAlarmeAlto3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;20;;;;;"";"";"Carel";"Carel.Balcao3.TagSetAlarmeAlto3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagSetPointTempInterna3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;4;;;;;"";"";"Carel";"Carel.Balcao3.TagSetPointTempInterna3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagStatusSaida3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;227;;;;;"";"";"Carel";"Carel.Balcao3.TagStatusSaida3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagDiaLigar3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;206;;;;;"";"";"Carel";"Carel.Balcao3.TagDiaLigar3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
